color,director_name,duration,gross,genres,movie_title,title_year,language,country,budget,imdb_score,actors,movie_facebook_likes
color,martin scorsese,240,116866727.0,"['biography', 'comedy', 'crime', 'drama']",The Wolf of Wall Street,2013,english,usa,100000000.0,8.02,"Leonardo DiCaprio,Matthew McConaughey,Jon Favreau",138000
color,shane black,195,408992272.0,"['action', 'adventure', 'sci-fi']",Iron Man 3,2013,english,usa,200000000.0,7.02,"Robert Downey Jr.,Jon Favreau,Don Cheadle",95000
color,quentin tarantino,187,54116191.0,"['crime', 'drama', 'mystery', 'thriller', 'western']",The Hateful Eight,2015,english,usa,44000000.0,7.09,"Craig Stark,Jennifer Jason Leigh,Zoë Bell",114000
color,kenneth lonergan,186,46495.0,['drama'],Margaret,2011,english,usa,14000000.0,6.05,"Matt Damon,Kieran Culkin,John Gallagher Jr.",0
color,peter jackson,186,258355354.0,"['adventure', 'fantasy']",The Hobbit: The Desolation of Smaug,2013,english,usa,225000000.0,7.09,"Aidan Turner,Adam Brown,James Nesbitt",83000
color,peter jackson,-50,303001229.0,"['adventure', 'fantasy']",The Hobbit: An Unexpected Journey,2012,english,usa,180000000.0,7.09,"Aidan Turner,Adam Brown,James Nesbitt",166000
color,joss whedon,173,623279547.0,"['action', 'adventure', 'sci-fi']",The Avengers,2012,english,usa,220000000.0,8.01,"Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson",123000
color,joss whedon,173,623279547.0,"['action', 'adventure', 'sci-fi']",The Avengers,2012,english,usa,220000000.0,8.01,"Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson",123000
nan,tom tykwer,172,27098580.0,"['drama', 'sci-fi']",Cloud Atlas,2012,english,germany,102000000.0,-7.5,"Tom Hanks,Jim Sturgess,Jim Broadbent",124000
color,null,158,102515793.0,"['crime', 'drama', 'mystery', 'thriller']",The Girl with the Dragon Tattoo,2011,english,usa,90000000.0,7.08,"Robin Wright,Goran Visnjic,Joely Richardson",54000
color,christopher nolan,169,187991439.0,"['adventure', 'drama', 'sci-fi']",Interstellar,2014,english,usa,165000000.0,8.06,"Matthew McConaughey,Anne Hathaway,Mackenzie Foy",349000
color,f. gary gray,167,161029270.0,"['biography', 'crime', 'drama', 'history', 'music']",Straight Outta Compton,2015,english,usa,28000000.0,7.09,"Aldis Hodge,Neil Brown Jr.,R. Marcos Taylor",76000
nan,richard linklater,165,25359200.0,['drama'],Boyhood,2014,english,usa,4000000.0,8.0,"Ellar Coltrane,Lorelei Linklater,Libby Villari",92000
color,quentin tarantino,580,162804648.0,"['drama', 'western']",Django Unchained,2012,english,usa,100000000.0,8.05,"Leonardo DiCaprio,Christoph Waltz,Ato Essandoh",199000
color,michael bay,165,245428137.0,"['action', 'adventure', 'sci-fi']",Transformers: Age of Extinction,2014,english,usa,210000000.0,5.07,"Bingbing Li,Sophia Myles,Kelsey Grammer",56000
nan,christopher nolan,164,448130642.0,"['action', 'thriller']",The Dark Knight Rises,2012,english,usa,250000000.0,8.05,"Tom Hardy,Christian Bale,Joseph Gordon-Levitt",164000
color,peter jackson,164,255108370.0,"['adventure', 'fantasy']",The Hobbit: The Battle of the Five Armies,2014,english,new zealand,250000000.0,7.05,"Aidan Turner,Adam Brown,James Nesbitt",65000
color,tom hooper,158,148775460.0,"['drama', 'musical', 'romance']",Les Misérables,2012,english,usa,61000000.0,7.06,"Hugh Jackman,Eddie Redmayne,Anne Hathaway",144000
color,tom hooper,158,148775460.0,"['drama', 'musical', 'romance']",Les Misérables,2012,english,usa,61000000.0,7.06,"Hugh Jackman,Eddie Redmayne,Anne Hathaway",144000
color,kathryn bigelow,157,95720716.0,"['drama', 'history', 'thriller']",Zero Dark Thirty,2012,english,usa,40000000.0,7.04,"Jennifer Ehle,Harold Perrineau,Parker Sawyers",39000
color,ridley scott,156,105219735.0,"['action', 'adventure', 'drama', 'history']",Robin Hood,2010,english,usa,200000000.0,6.07,"Mark Addy,William Hurt,Scott Grimes",17000
color,michael bay,154,352358779.0,"['action', 'adventure', 'sci-fi']",Transformers: Dark of the Moon,2011,english,usa,195000000.0,6.03,"Glenn Morshower,Lester Speight,Kevin Dunn",46000
color,denis villeneuve,153,60962878.0,"['crime', 'drama', 'mystery', 'thriller']",Prisoners,2013,english,usa,46000000.0,8.01,"Hugh Jackman,Jake Gyllenhaal,Dylan Minnette",86000
color,marc webb,153,262030663.0,"['action', 'adventure', 'fantasy']",The Amazing Spider-Man,2012,english,usa,230000000.0,7.0,"Emma Stone,Andrew Garfield,Chris Zylka",56000
color,nan,151,228430993.0,"['adventure', 'drama', 'sci-fi']",The Martian,2015,english,usa,108000000.0,8.01,"Matt Damon,Donald Glover,Benedict Wong",153000
color,ridley scott,150,65007045.0,"['action', 'adventure', 'drama']",Exodus: Gods and Kings,2014,english,uk,140000000.0,6.01,"Christian Bale,María Valverde,Ben Mendelsohn",51000
color,ridley scott,150,65007045.0,"['action', 'adventure', 'drama']",Exodus: Gods and Kings,2014,english,uk,140000000.0,6.01,"Christian Bale,María Valverde,Ben Mendelsohn",51000
color,gore verbinski,650,89289910.0,"['action', 'adventure', 'western']",The Lone Ranger,2013,english,usa,215000000.0,6.05,"Johnny Depp,Ruth Wilson,Tom Wilkinson",48000
color,david fincher,149,167735396.0,"['crime', 'drama', 'mystery', 'thriller']",Gone Girl,2014,english,usa,61000000.0,8.01,"Patrick Fugit,Sela Ward,Emily Ratajkowski",146000
color,bryan singer,149,233914986.0,"['action', 'adventure', 'fantasy', 'sci-fi', 'thriller']",X-Men: Days of Future Past,2014,english,united states,200000000.0,8.0,"Jennifer Lawrence,Peter Dinklage,Hugh Jackman",82000
color,christopher nolan,148,292568851.0,"['action', 'adventure', 'sci-fi', 'thriller']",Inception,2010,english,usa,160000000.0,8.08,"Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt",175000
color,paul thomas anderson,148,8093318.0,"['comedy', 'crime', 'drama', 'mystery', 'romance']",Inherent Vice,2014,english,usa,20000000.0,6.07,"Martin Dew,Katherine Waterston,Serena Scott Thomas",18000
color,sam mendes,148,200074175.0,"['action', 'adventure', 'thriller']",Spectre,2015,english,uk,245000000.0,6.08,"Christoph Waltz,Rory Kinnear,Stephanie Sigman",85000
color,michael patrick king,146,95328937.0,"['comedy', 'drama', 'romance']",Sex and the City 2,2010,english,usa,100000000.0,4.03,"Chris Noth,Liza Minnelli,Kristin Davis",0
color,tate taylor,146,169705587.0,['drama'],The Help,2011,english,usa,25000000.0,8.01,"Emma Stone,Bryce Dallas Howard,Mike Vogel",75000
color,francis lawrence,146,424645577.0,"['adventure', 'sci-fi', 'thriller']",The Hunger Games: Catching Fire,2013,english,usa,130000000.0,7.06,"Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty",82000
black and white,steven spielberg,146,79883359.0,"['drama', 'war']",War Horse,2011,english,usa,66000000.0,7.02,"Jeremy Irvine,Benedict Cumberbatch,Eddie Marsan",28000
color,michael bay,144,52822418.0,"['action', 'drama', 'thriller', 'war']",13 Hours,2016,english,usa,50000000.0,7.04,"Toby Stephens,James Badge Dale,David Costabile",44000
color,guillaume canet,144,41229.0,"['crime', 'drama', 'thriller']",Blood Ties,2013,english,france,25500000.0,6.05,"Mila Kunis,Lili Taylor,Billy Crudup",0
color,paul thomas anderson,144,16377274.0,['drama'],The Master,2012,english,usa,32000000.0,7.01,"Mike Howard,Jeffrey W. Jenkins,Bruce Goodchild",27000
color,bryan singer,144,154985087.0,"['action', 'adventure', 'sci-fi']",X-Men: Apocalypse,2016,english,usa,178000000.0,7.03,"Jennifer Lawrence,Michael Fassbender,Tye Sheridan",54000
